City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,howrah,22.5892,88.3103,22.0,78,6,3.09,IN,1703401418
1,kenai,60.5544,-151.2583,-0.48,100,100,10.29,US,1703401178
2,ulbroka,56.9411,24.2897,0.5,93,100,1.54,LV,1703401419
3,alofi,-19.0595,-169.9187,24.94,83,1,4.63,NU,1703401262
4,sidi akkacha,36.4647,1.3026,7.16,73,0,1.7,DZ,1703401420
5,grytviken,-54.2811,-36.5092,1.33,98,86,6.01,GS,1703401130
6,blackmans bay,-43.0167,147.3167,18.07,78,100,2.52,AU,1703401135
7,enewetak,11.3474,162.3373,27.43,81,40,11.19,MH,1703401146
8,adamstown,-25.066,-130.1015,22.81,95,100,7.23,PN,1703401127
9,tiksi,71.6872,128.8694,-21.81,90,100,5.53,RU,1703401133
10,port-aux-francais,-49.35,70.2167,5.75,71,100,9.13,TF,1703401134
11,puerto carreno,6.189,-67.4859,25.98,83,91,1.3,CO,1703401422
12,kermit,31.8576,-103.0927,10.49,51,1,4.53,US,1703401422
13,yamada,39.4667,141.95,2.23,73,100,2.32,JP,1703401422
14,ushuaia,-54.8,-68.3,6.81,87,75,12.86,AR,1703401126
15,bilibino,68.0546,166.4372,-37.62,100,92,0.75,RU,1703401166
16,jiexiu,37.0244,111.9125,-3.1,51,0,3.18,CN,1703401423
17,utrik,11.2278,169.8474,26.99,82,79,10.56,MH,1703401161
18,fort st. john,56.2499,-120.8529,-2.06,59,40,5.66,CA,1703401424
19,peniche,39.3558,-9.3811,9.14,69,5,3.22,PT,1703401424
20,brokopondo,4.75,-55.1667,24.56,93,97,2.13,SR,1703401425
21,as sulayyil,20.4607,45.5779,22.14,34,0,4.6,SA,1703401194
22,priozersk,61.0393,30.1291,-0.51,94,100,0.64,RU,1703401425
23,sandnessjoen,66.0217,12.6316,-12.71,73,98,3.91,NO,1703401403
24,waitangi,-43.9535,-176.5597,14.34,83,100,1.79,NZ,1703401130
25,tromso,69.6496,18.957,-0.99,74,75,6.69,NO,1703401426
26,wamba,8.9333,8.6,23.79,22,72,0.57,NG,1703401426
27,sabang,5.8933,95.3214,26.74,84,100,8.45,ID,1703401427
28,saint-pierre,-21.3393,55.4781,31.21,58,0,2.06,RE,1703401427
29,bethel,41.3712,-73.414,3.84,74,75,0.0,US,1703401135
30,martapura,-3.4167,114.85,33.05,62,40,2.57,ID,1703401428
31,tsengel,49.4783,100.8894,-11.65,78,61,1.26,MN,1703401429
32,duminichi,53.9345,35.1099,-4.68,96,99,2.77,RU,1703401429
33,lashio,22.9333,97.75,23.98,49,35,1.62,MM,1703401429
34,anadyr,64.75,177.4833,-29.72,74,0,3.0,RU,1703401140
